name,adress,distance_km,Distance,Cost,Quality,Taste,Ambience,Links
Bollwark,"Bollwerk 41, Bern, 3011",0.573737489,9.4,7,8,7,8,"https://www.google.com/maps?q=46.951697,7.4417414"
las alps,"Helvetiaplatz 4, Bern, 3005",0.447922917,9.6,4,6,6,6,"https://www.google.com/maps?q=46.9440292,7.4479979"
Casino,"Frickweg None, Bern, 3011",0.17800515,9.8,7,6,6,6,"https://www.google.com/maps?q=46.9467627,7.4484841"
Volkshaus 1914,"Zeughausgasse None, Bern, 3011",0.079175144,9.9,5,8,6,7,"https://www.google.com/maps?q=46.9486027,7.4464459"
Mont Liban,"Moserstrasse None, Bern, 3013",1.170447518,8.8,5,8,6,8,"https://www.google.com/maps?q=46.9576355,7.4531969"
Papa Joe's,"Schauplatzgasse None, Bern, 3011",0.360076905,9.6,4,7,7,7,"https://www.google.com/maps?q=46.9472616,7.4423948"
VUE,"Bundesterrasse None, Bern, 3011",0.174506248,9.8,5,8,6,6,"https://www.google.com/maps?q=46.9464313,7.4469171"
Taubenhalde A,"Taubenstrasse 16, Bern, 3000",0.633535155,9.4,6,6,7,6,"https://www.google.com/maps?q=46.9442625,7.4407181"
Schloss Bumpliz,"Bumplizstrasse 89, Bern, 3018",4.203448453,5.8,5,8,6,8,"https://www.google.com/maps?q=46.9441405,7.3920761"
Namaste India,"Monbijoustrasse None, Bern, 3007",0.959007899,9,6,8,10,6,"https://www.google.com/maps?q=46.9440749,7.4357829"
O bolles,"Bollwerk None, Bern, 3011",0.573833955,9.4,5,8,8,6,"https://www.google.com/maps?q=46.9514658,7.441414"
Tibits,"Gurtengasse 3, Bern, 3011",0.395092487,9.6,4,6,7,6,"https://www.google.com/maps?q=46.947,7.44202"
Azzurro,"Lindenrain 5, Bern, 3012",1.374868014,8.6,6,8,6,6,"https://www.google.com/maps?q=46.9487525,7.4289738"
Curry Legend,"Langgassstrasse 32, Bern, 3012",1.269342578,8.7,8,8,8,6,"https://www.google.com/maps?q=46.9534739,7.4323668"
Bahnhof Sud,"Bumplizstrasse 189, Bern, 3018",4.061429435,5.9,6,6,7,8,"https://www.google.com/maps?q=46.9379428,7.3957173"
Essort,"Jubilaumsstrasse None, Bern, 3005",1.388641403,8.6,4,8,6,6,"https://www.google.com/maps?q=46.9355219,7.4461654"
El Mexicano,"Spitalgasse 26, Bern, 3011",0.357399899,9.6,4,7,7,8,"https://www.google.com/maps?q=46.9484343,7.4423484"
Trucker,"Gotenstrasse None, Bern, 3018",3.709309646,6.3,4,6,7,6,"https://www.google.com/maps?q=46.9442456,7.3985876"
Mensa vonRoll,"Fabrikstrasse 8, Bern, 3012",1.914722073,8.1,5,6,8,6,"https://www.google.com/maps?q=46.9533972,7.4231148"
Belle Epoque,"Gerechtigkeitsgasse None, Bern, 3011",0.643170914,9.4,4,7,6,6,"https://www.google.com/maps?q=46.9487672,7.4553738"
Nemrut,"Holenackerstrasse 21, Bern, 3027",5.070742285,4.9,7,7,8,8,"https://www.google.com/maps?q=46.9493855,7.3804233"
Migros Restaurant,"Zeughausgasse None, Bern, 3011",0.172434367,9.8,5,8,8,8,"https://www.google.com/maps?q=46.9485977,7.4449099"
Coop Restaurant,"Eymattstrasse None, Bern, 3027",4.171146836,5.8,5,9,7,8,"https://www.google.com/maps?q=46.9507715,7.3923583"
Sternen,"Bumplizstrasse 121, Bern, 3018",4.366741739,5.6,7,6,7,6,"https://www.google.com/maps?q=46.9408357,7.3906067"
Jack's Brasserie,"Schweizerhof-Passage None, Bern, 3011",0.46037119,9.5,2,10,8,9,"https://www.google.com/maps?q=46.9486631,7.4410308"
Mensa Gymnasium Neufeld,"Bremgartenstrasse 133, Bern, 3012",1.832938749,8.2,4,8,8,8,"https://www.google.com/maps?q=46.9589325,7.4289755"
Coop Restaurant,"Aarbergergasse None, Bern, 3011",0.416731751,9.6,6,7,7,8,"https://www.google.com/maps?q=46.9494099,7.4419279"
mille sens,"Schweizerhof-Passage None, Bern, 3011",0.432798387,9.6,2,9,10,9,"https://www.google.com/maps?q=46.9485045,7.4413629"
Piazza,"Weiermattstrasse None, Bern, 3027",5.330453119,4.7,5,7,7,7,"https://www.google.com/maps?q=46.9483029,7.3769832"
Pomodoro,"Neuengasse None, Bern, 3011",0.397398866,9.6,5,7,7,8,"https://www.google.com/maps?q=46.9489429,7.4419648"
La Chouette,"Bollwerk None, Bern, 3011",0.573037486,9.4,6,8,8,7,"https://www.google.com/maps?q=46.9516157,7.4416351"
Lamoon,"Neufeldstrasse None, Bern, 3012",1.499931247,8.5,7,6,7,6,"https://www.google.com/maps?q=46.9568941,7.4321833"
Japigo,"Spitalgasse None, Bern, 3011",0.386353356,9.6,7,8,7,8,"https://www.google.com/maps?q=46.9477382,7.4419395"
Hollyfood,"Schaalgasschen None, Bern, 3011",0.271184538,9.7,5,8,6,6,"https://www.google.com/maps?q=46.948131,7.450557"
Three Kitchen & Bar by Downtown,"Schlusselgasschen None, Bern, 3011",0.169632389,9.8,4,7,6,7,"https://www.google.com/maps?q=46.9483703,7.4491616"
Drei Eidgenossen,"Rathausgasse None, Bern, 3011",0.11950663,9.9,4,6,7,7,"https://www.google.com/maps?q=46.9483473,7.4484856"
Le Pavillon,"Wabernstrasse None, Bern, 3007",1.618857319,8.4,4,7,6,7,"https://www.google.com/maps?q=46.9342345,7.4400644"
Bonbec Bern,"Schlossergasschen None, Bern, 3011",0.215242257,9.8,6,8,8,8,"https://www.google.com/maps?q=46.9486658,7.4496549"
sua,"Munstergasse None, Bern, 3011",0.139163331,9.9,6,6,8,8,"https://www.google.com/maps?q=46.9475735,7.4487186"
Klotzlikeller,"Gerechtigkeitsgasse None, Bern, 3011",0.485992448,9.5,7,8,8,7,"https://www.google.com/maps?q=46.9483137,7.4533673"
Wein & Sein,"Munstergasse None, Bern, 3011",0.206668075,9.8,7,6,8,8,"https://www.google.com/maps?q=46.947586,7.4496465"
Mattehof Gastronomie,"Belpstrasse None, Bern, 3007",1.226275149,8.8,6,6,7,6,"https://www.google.com/maps?q=46.9434438,7.4323312"
Baren,"Matzenriedstrasse 35, Bern, 3019",7.478712574,2.5,5,9,7,7,"https://www.google.com/maps?q=46.9336215,7.3510465"
Piman thai,"Munstergasse None, Bern, 3011",0.22742448,9.8,6,8,9,6,"https://www.google.com/maps?q=46.9472907,7.449802"
Haus der Universitat,"Schlosslistrasse None, Bern, 3008",1.114717224,8.9,5,6,7,6,"https://www.google.com/maps?q=46.946784,7.4324659"
moment,"Antoniergasschen None, Bern, 3011",0.509915828,9.5,4,6,7,7,"https://www.google.com/maps?q=46.9484657,7.4536634"
Arlequin,"Gerechtigkeitsgasse None, Bern, 3011",0.503149934,9.5,5,6,7,7,"https://www.google.com/maps?q=46.9480506,7.4536087"
Sushi Bar,"Kramgasse None, Bern, 3011",0.130026672,9.9,6,9,8,7,"https://www.google.com/maps?q=46.9478139,7.4486862"
Il Ristorantino,"Gesellschaftsstrasse None, Bern, 3012",1.242630037,8.8,4,8,6,7,"https://www.google.com/maps?q=46.9542186,7.4334359"
Restaurant Kleefeld,"Madergutstrasse 5, Bern, 3018",4.759183425,5.2,6,8,7,9,"https://www.google.com/maps?q=46.9370389,7.3865759"
toi et moi,"Milchgassli None, Bern, 3011",0.570384705,9.4,7,6,6,7,"https://www.google.com/maps?q=46.9482701,7.4395181"
Josephine Brasserie,"Engestrasse 54, Bern, 3012",1.552845495,8.4,4,7,7,7,"https://www.google.com/maps?q=46.9609593,7.4393878"
Kramer,"Kramgasse None, Bern, 3011",0.351359801,9.6,7,8,8,8,"https://www.google.com/maps?q=46.9481554,7.4516097"
Tadim Grill,"Seftigenstrasse None, Bern, 3007",1.670249007,8.3,7,7,7,7,"https://www.google.com/maps?q=46.936623,7.432672"
Frohsinn,"Munstergasse 54, Bern, 3011",0.193039877,9.8,7,8,7,7,"https://www.google.com/maps?q=46.9475768,7.4494592"
Pad Thai,"Oberes Gerechtigkeitsgasschen None, Bern, 3011",0.538996924,9.5,6,8,9,8,"https://www.google.com/maps?q=46.948136,7.4540772"
Maharaja Palace,"Aarbergergasse None, Bern, 3011",0.44733308,9.6,7,8,8,8,"https://www.google.com/maps?q=46.9496731,7.441656"
Cowboys,"Speichergasse None, Bern, 3011",0.43811155,9.6,6,8,7,8,"https://www.google.com/maps?q=46.9502636,7.4422891"
Huayuan,"Holligenstrasse 70, Bern, 3008",2.392780201,7.6,6,6,7,7,"https://www.google.com/maps?q=46.9410313,7.4172646"
Mondo,"Langgassstrasse None, Bern, 3012",1.392170826,8.6,5,8,8,8,"https://www.google.com/maps?q=46.9542251,7.4311317"
Kesar,"Steigerhubelstrasse None, Bern, 3008",2.733010877,7.3,7,6,8,6,"https://www.google.com/maps?q=46.949,7.41113"
Noa,"Murtenstrasse 143a, Bern, 3008",2.844578194,7.2,7,7,8,6,"https://www.google.com/maps?q=46.9491001,7.4096693"
Urs Hauri,"Zeughaus-Passage None, Bern, 3011",0.117866768,9.9,4,8,7,7,"https://www.google.com/maps?q=46.948607,7.4457306"
Asmara Restaurant,"Berchtoldstrasse None, Bern, 3012",1.333349049,8.7,5,7,7,7,"https://www.google.com/maps?q=46.9560581,7.4340266"
El Patran,"Kirchenfeldstrasse None, Bern, 3005",1.097045009,8.9,7,6,7,8,"https://www.google.com/maps?q=46.9401955,7.4558181"
Venezia,"Burgunderstrasse None, Bern, 3018",3.788463853,6.2,4,6,7,8,"https://www.google.com/maps?q=46.9408619,7.3983439"
Suresh,"Gerberngasse None, Bern, 3011",0.725497063,9.3,7,8,7,7,"https://www.google.com/maps?q=46.9475902,7.4565109"
daylis,"Brunnenstrasse None, Bern, 3018",4.682377277,5.3,6,6,8,7,"https://www.google.com/maps?q=46.9430208,7.3859289"
Tredicipercento,"Rathausgasse None, Bern, 3011",0.288051536,9.7,4,6,7,7,"https://www.google.com/maps?q=46.9483389,7.4507512"
Namamen,"Schanzenstrasse None, Bern, 3007",0.730317354,9.3,7,7,8,8,"https://www.google.com/maps?q=46.947952,7.4374072"
Chez SBB (Sole),"Wankdorfallee None, Bern, 3014",2.521504834,7.5,4,7,6,6,"https://www.google.com/maps?q=46.9678116,7.463129"
Chez SBB (Gira),"Hilfikerstrasse None, Bern, 3014",2.598931809,7.4,4,6,7,6,"https://www.google.com/maps?q=46.9686048,7.4631305"
Espace,"Wankdorfallee 4, Bern, 3014",2.414469489,7.6,5,7,8,7,"https://www.google.com/maps?q=46.9673404,7.4614328"
mensauno,"Lorrainestrasse None, Bern, 3013",0.783228662,9.2,6,7,7,7,"https://www.google.com/maps?q=46.9548532,7.4446136"
Restaurant 2B,"Schanzlihalde None, Bern, 3013",0.635311325,9.4,6,9,7,9,"https://www.google.com/maps?q=46.9536925,7.4462638"
Gourmet Thai,"Freiburgstrasse None, Bern, 3018",4.11149268,5.9,8,9,10,6,"https://www.google.com/maps?q=46.9372765,7.3953188"
Restaurant BBL - Chez Gustave & Caffe Liscio,"Fellerstrasse None, Bern, 3027",4.502119094,5.5,6,8,8,9,"https://www.google.com/maps?q=46.9463084,7.3879151"
Provisorium 46,"Muesmattstrasse 46, Bern, 3012",1.534455389,8.5,7,8,7,7,"https://www.google.com/maps?q=46.9544008,7.4291414"
Vanakam,"Europaplatz None, Bern, 3008",3.177379643,6.8,4,7,7,8,"https://www.google.com/maps?q=46.9436055,7.4057616"
Hua Guan,"Sempachstrasse None, Bern, 3014",2.098267678,7.9,5,6,7,8,"https://www.google.com/maps?q=46.9628967,7.4639271"
Taj,"Langgassstrasse None, Bern, 3012",1.378653127,8.6,6,7,8,6,"https://www.google.com/maps?q=46.9539354,7.4310987"
Ponte Nuovo,"Neubruckstrasse None, Bern, 3012",1.390013694,8.6,7,6,7,7,"https://www.google.com/maps?q=46.9581282,7.4362924"
Loscher,"Viktoriastrasse 70, Bern, 3013",0.829876026,9.2,5,8,6,6,"https://www.google.com/maps?q=46.9545832,7.4521397"
Ambiente,"Buhlstrasse 5, Bern, 3012",1.417095401,8.6,7,8,6,7,"https://www.google.com/maps?q=46.9491209,7.4284577"
Little Panda,"Effingerstrasse None, Bern, 3008",1.494769759,8.5,7,8,8,7,"https://www.google.com/maps?q=46.945812,7.4276276"
La Tribuna,"Steigerhubelstrasse 55b, Bern, 3008",2.466008849,7.5,6,8,6,8,"https://www.google.com/maps?q=46.9471637,7.4146311"
Da Keli,"Kochergasse None, Bern, 3011",0.156050035,9.8,7,7,8,8,"https://www.google.com/maps?q=46.946631,7.447453"
bimano zent,"Zentweg 1a, Bern, 3006",2.301824201,7.7,7,7,6,8,"https://www.google.com/maps?q=46.9588387,7.4727646"
Prima Luna,"Effingerstrasse None, Bern, 3007",1.384912356,8.6,5,7,6,7,"https://www.google.com/maps?q=46.9459817,7.4290492"
Bay,"Hodlerstrasse None, Bern, 3011",0.502890696,9.5,7,6,8,6,"https://www.google.com/maps?q=46.9515469,7.4429"
Tab-Tim Thai,"Munstergasse 57, Bern, 3011",0.188836387,9.8,6,7,8,8,"https://www.google.com/maps?q=46.9473534,7.4492937"
Freibank,"Stauffacherstrasse 82, Bern, 3014",2.367715095,7.6,6,7,8,8,"https://www.google.com/maps?q=46.9673476,7.4600046"
Cle de Berne,"Schauplatzgasse None, Bern, 3011",0.463548793,9.5,5,8,6,6,"https://www.google.com/maps?q=46.9471914,7.4410267"
Bistro Breiten,"Breitenrainstrasse None, Bern, 3013",0.985131336,9,5,7,7,6,"https://www.google.com/maps?q=46.9567891,7.4486508"
The Bristol Lounge,"Schauplatzgasse None, Bern, 3011",0.333285742,9.7,7,8,6,7,"https://www.google.com/maps?q=46.9475248,7.4426775"
Restaurant Hohe,"Bernstrasse None, Bern, 3018",3.932953341,6.1,6,9,7,8,"https://www.google.com/maps?q=46.9420597,7.3960751"
AVI Restaurant,"Bottigenstrasse 7, Bern, 3018",4.445971526,5.6,4,9,7,7,"https://www.google.com/maps?q=46.9393138,7.3899988"
Sole,"Freiburgstrasse 15, Bern, 3010",1.623908497,8.4,5,7,8,6,"https://www.google.com/maps?q=46.946742,7.4257487"
Restaurant Engehalde,"Engehaldenstrasse 35, Bern, 3012",1.119448023,8.9,4,7,7,9,"https://www.google.com/maps?q=46.9568231,7.4399127"
Massimo Pizza Express,"Morgenstrasse 148, Bern, 3018",4.838255305,5.2,6,8,8,8,"https://www.google.com/maps?q=46.9334797,7.3870968"
ZOE,"Munstergasse 39, Bern, 3011",0.249270399,9.8,4,6,7,6,"https://www.google.com/maps?q=46.9473769,7.4501453"
Mannan's,"Waldheimstrasse None, Bern, 3012",1.689273687,8.3,5,8,7,8,"https://www.google.com/maps?q=46.9553758,7.4275986"
Vierte Wand,"Nageligasse None, Bern, 3011",0.130616835,9.9,4,7,6,8,"https://www.google.com/maps?q=46.9491473,7.4466301"
the flow,"Schanzenstrasse 5, Bern, 3008",0.793803084,9.2,6,8,6,6,"https://www.google.com/maps?q=46.9478449,7.4365755"
cantin eatery,"Rathausgasse 57, Bern, 3011",0.176750749,9.8,4,6,8,8,"https://www.google.com/maps?q=46.9483356,7.4492694"
daylis,"Sulgeneckstrasse None, Bern, 3007",0.948136876,9.1,5,7,6,8,"https://www.google.com/maps?q=46.9406597,7.4406589"
Casa Schwellenmatteli,"Dalmaziquai None, Bern, 3005",0.383041105,9.6,3,9,9,10,"https://www.google.com/maps?q=46.9450191,7.4495233"
Stella,"Freiburgstrasse 18, Bern, 3010",1.715970831,8.3,6,8,8,7,"https://www.google.com/maps?q=46.9488606,7.4244948"
Restaurant Tramway,"Bumplizstrasse None, Bern, 3018",4.366788566,5.6,6,9,7,7,"https://www.google.com/maps?q=46.9415515,7.3904218"
Ka-We-De,"Jubilaumsstrasse None, Bern, 3005",1.432825142,8.6,7,7,8,8,"https://www.google.com/maps?q=46.9351124,7.4472379"
Pizzeria Neufeld,"Bremgartenstrasse None, Bern, 3012",1.833340891,8.2,5,8,7,7,"https://www.google.com/maps?q=46.9603377,7.4310187"
Artigiano,"Spitalgass-Passage None, Bern, 3011",0.327729286,9.7,4,6,8,8,"https://www.google.com/maps?q=46.9485358,7.4427668"
San Gottardo,"Aarbergergasse None, Bern, 3011",0.314343261,9.7,4,7,7,7,"https://www.google.com/maps?q=46.9495652,7.4435612"
Mensa Gesellschaftsstrasse,"Gesellschaftsstrasse 2, Bern, 3012",0.782511671,9.2,5,6,8,7,"https://www.google.com/maps?q=46.9517845,7.4383331"
Manora,"Zu Schmieden None, Bern, 3011",0.032785819,10,4,7,7,6,"https://www.google.com/maps?q=46.9481726,7.4466508"
Cafeteria Chemie,"Freiestrasse None, Bern, 3012",1.454696912,8.5,8,9,7,9,"https://www.google.com/maps?q=46.9527363,7.4291867"
Spiga,"Gilberte-de-Courgenay-Platz 4, Bern, 3027",5.615318652,4.4,7,8,6,6,"https://www.google.com/maps?q=46.9441266,7.37346"
Tara Indian Cuisine,"A1 None, Bern, 3019",5.634653578,4.4,6,9,8,7,"https://www.google.com/maps?q=46.9443121,7.3731849"
Negishi,"Bogenschutzenstrasse 9, Bern, 3011",0.680986504,9.3,6,8,8,8,"https://www.google.com/maps?q=46.9479308,7.4380555"
Nordring,"Winkelriedstrasse None, Bern, 3014",1.973773019,8,7,7,8,8,"https://www.google.com/maps?q=46.9641631,7.4577302"
Gurtenblick,"Niesenweg 1, Bern, 3012",1.321257999,8.7,4,8,7,7,"https://www.google.com/maps?q=46.9489948,7.4297054"
Buffet Nord,"Fellerstrasse None, Bern, 3027",4.242263,5.8,7,7,7,8,"https://www.google.com/maps?q=46.9469027,7.3912995"
Migros Restaurant,"Breitenrainstrasse 11, Bern, 3013",1.247903427,8.8,6,8,8,9,"https://www.google.com/maps?q=46.9582362,7.4537282"
Fabrique28,"Monbijoustrasse None, Bern, 3007",0.975178658,9,7,7,6,7,"https://www.google.com/maps?q=46.9439157,7.4356642"
Flavour Kitchen,"Freiburgstrasse 18, Bern, 3010",1.480780911,8.5,5,6,6,8,"https://www.google.com/maps?q=46.9476613,7.4275556"
City Pizzeria,"Monbijoustrasse None, Bern, 3007",0.965225886,9,7,8,7,8,"https://www.google.com/maps?q=46.9440145,7.4357364"
Tibits,"Bahnhofplatz 10, Bern, 3011",0.512727526,9.5,4,8,7,6,"https://www.google.com/maps?q=46.9486696,7.4403364"
Petit Couteau,"Monbijoustrasse None, Bern, 3007",0.83007978,9.2,8,8,7,9,"https://www.google.com/maps?q=46.9454348,7.4367604"
Oishii,"Aarbergergasse None, Bern, 3011",0.458120347,9.5,6,6,7,6,"https://www.google.com/maps?q=46.9497146,7.4415279"
Star Kebab,"Freiburgstrasse 2a, Bern, 3008",1.477747242,8.5,9,6,7,3,"https://www.google.com/maps?q=46.9481147,7.4275898"
Noumi,"Bundesterrasse None, Bern, 3011",0.187784267,9.8,5,6,6,7,"https://www.google.com/maps?q=46.9463158,7.446811"
Bistro Medi,"Wankdorffeldstrasse None, Bern, 3014",2.430092255,7.6,5,7,8,6,"https://www.google.com/maps?q=46.9663334,7.4643865"
Missione Cattolica Italiana,"Bovetstrasse 1, Bern, 3007",1.220513756,8.8,4,8,7,8,"https://www.google.com/maps?q=46.9410602,7.4345779"
Williams ButchersTable,"Gurtengasse None, Bern, 3011",0.424538501,9.6,6,8,6,8,"https://www.google.com/maps?q=46.9470877,7.441585"
Injera,"Gesellschaftsstrasse None, Bern, 3012",1.2202055,8.8,4,6,6,7,"https://www.google.com/maps?q=46.9543233,7.4338983"
nom nom,"Schutzenweg None, Bern, 3014",1.445797907,8.6,7,6,6,7,"https://www.google.com/maps?q=46.9601297,7.4538513"
Migros Restaurant,"Brunnen None, Bern, 3027",5.590215849,4.4,4,9,7,7,"https://www.google.com/maps?q=46.9457136,7.3736474"
Yooji's,"Gilberte-de-Courgenay-Platz 4, Bern, 3027",5.655566481,4.3,5,8,7,7,"https://www.google.com/maps?q=46.9440219,7.3729417"
Da Rina,"Tscharnerstrasse None, Bern, 3007",1.482193793,8.5,7,8,9,8,"https://www.google.com/maps?q=46.9407874,7.4306266"
Hallers Brasserie,"Hallerstrasse 33, Bern, 3012",1.013814192,9,6,7,8,9,"https://www.google.com/maps?q=46.9537271,7.4366361"
Nooch,"None 4, Bern, 3027",5.537150301,4.5,6,8,8,7,"https://www.google.com/maps?q=46.9446702,7.3744319"
Migros Restaurant,"Riedbachstrasse 10, Bern, 3027",4.849593048,5.2,4,9,8,8,"https://www.google.com/maps?q=46.9475682,7.3833017"
Luna,"Wankdorfallee None, Bern, 3014",2.653861031,7.3,4,6,6,6,"https://www.google.com/maps?q=46.9686511,7.4644906"
Turbo Lama,"Hilfikerstrasse 4, Bern, 3014",2.599063494,7.4,6,8,7,7,"https://www.google.com/maps?q=46.9682653,7.4640267"
WerkStadt Lorraine,"Lorrainestrasse 20, Bern, 3013",0.940176977,9.1,7,7,6,6,"https://www.google.com/maps?q=46.9563625,7.4451577"
Qin,"Speichergasse 29, Bern, 3011",0.395089983,9.6,6,6,6,6,"https://www.google.com/maps?q=46.9500934,7.4428061"
Romy,"Rathausgasse 11, Bern, 3011",0.346032665,9.7,7,7,7,8,"https://www.google.com/maps?q=46.9483801,7.4515113"
Asino,"Casinoplatz None, Bern, 3011",0.090319269,9.9,4,6,8,6,"https://www.google.com/maps?q=46.9473814,7.4477691"
Asia Hock,"Monbijoustrasse None, Bern, 3007",0.946281606,9.1,6,8,10,8,"https://www.google.com/maps?q=46.9437576,7.4362244"
ASIA Take Away & Partyservice,"Stauffacherstrasse 73, Bern, 3014",2.251338761,7.7,10,6,6,4,"https://www.google.com/maps?q=46.9668431,7.4578368"
Celina,"Wyttenbachstrasse None, Bern, 3013",0.821776465,9.2,4,6,6,6,"https://www.google.com/maps?q=46.955392,7.4470493"
le vivant,"Guterstrasse None, Bern, 3008",2.138114931,7.9,5,8,7,6,"https://www.google.com/maps?q=46.9466694,7.4189825"
Restaurant Yu,"Kornhausstrasse 3, Bern, 3013",0.596817565,9.4,5,9,7,8,"https://www.google.com/maps?q=46.9532271,7.4487876"
Rooftop Grill,"Kornhausstrasse 3, Bern, 3013",0.589927757,9.4,5,7,6,7,"https://www.google.com/maps?q=46.9531895,7.4486186"
Aminos Creperie & Gelateria,"Spitalgasse 38, Bern, 3011",0.421794689,9.6,7,8,9,8,"https://www.google.com/maps?q=46.9482023,7.4414674"
Surang,"Munstergasse 55, Bern, 3011",0.193815815,9.8,7,6,6,8,"https://www.google.com/maps?q=46.9473507,7.4493627"
Tres Amigos,"Riedbachstrasse None, Bern, 3027",5.684277993,4.3,6,8,7,7,"https://www.google.com/maps?q=46.9438908,7.3725787"
Darling Restaurant,"Kasernenstrasse 29, Bern, 3013",1.255481468,8.7,6,8,8,7,"https://www.google.com/maps?q=46.9570012,7.4569605"
Sapori d'Italia,"Papiermuhlestrasse None, Bern, 3014",2.114143099,7.9,6,8,7,8,"https://www.google.com/maps?q=46.9626116,7.4647767"
DOCK8,"Holligerhof 8, Bern, 3008",2.384414596,7.6,4,6,6,8,"https://www.google.com/maps?q=46.947595,7.4156853"
Lokero Bistro,"Bubenbergplatz None, Bern, 3011",0.676166694,9.3,6,8,8,8,"https://www.google.com/maps?q=46.9474604,7.4381533"
Ragazzi di Berna,"Eigerstrasse None, Bern, 3007",1.032218752,9,4,7,6,8,"https://www.google.com/maps?q=46.9399609,7.4402161"
Indian Kitchen,"Platanenweg None, Bern, 3013",1.085174658,8.9,6,9,10,6,"https://www.google.com/maps?q=46.9576217,7.4445968"
Bistro Fellergut,"Muhledorfstrasse None, Bern, 3018",4.294538609,5.7,7,8,7,8,"https://www.google.com/maps?q=46.9453599,7.3907225"
Weyerli Beizli,"Stockackerstrasse None, Bern, 3027",3.276365189,6.7,7,7,7,8,"https://www.google.com/maps?q=46.9485901,7.4039718"
Take Away 8.8,"Nageligasse 11, Bern, 3011",0.233686451,9.8,8,5,5,4,"https://www.google.com/maps?q=46.949521,7.4448812"
Galleria Luce,"Zeughausgasse None, Bern, 3011",0.214603536,9.8,6,8,7,8,"https://www.google.com/maps?q=46.9492153,7.4448098"
Sun Ramen,"None 1, Bern, 3008",2.384645199,7.6,5,8,6,8,"https://www.google.com/maps?q=46.9465666,7.415747"
Restaurant Wander,"Schwarzenburgstrasse None, Bern, 3008",2.244385164,7.8,4,9,8,7,"https://www.google.com/maps?q=46.9355448,7.4238007"
Punto,"Freiburgstrasse 18, Bern, 3010",1.766428778,8.2,6,6,7,7,"https://www.google.com/maps?q=46.9472818,7.423821"
Terrazza,"Freiburgstrasse 18, Bern, 3010",1.761165688,8.2,4,8,6,8,"https://www.google.com/maps?q=46.9472282,7.4238939"
Fauder,"Neubruckstrasse None, Bern, 3012",1.747467005,8.3,5,8,7,8,"https://www.google.com/maps?q=46.9605433,7.4331644"
OLYMPIA,"Militarstrasse 64, Bern, 3014",1.380408491,8.6,6,8,6,6,"https://www.google.com/maps?q=46.9589795,7.4554698"
Muna,"Thunstrasse 108, Bern, 3006",1.568963102,8.4,5,7,6,7,"https://www.google.com/maps?q=46.9412365,7.4650872"
Umai Bern,"Untermattweg None, Bern, 3027",3.549394543,6.5,4,8,7,7,"https://www.google.com/maps?q=46.947558,7.4003817"
BoulderBad Bistro,"Maulbeerstrasse 14, Bern, 3011",0.8443698,9.2,7,6,7,7,"https://www.google.com/maps?q=46.9466117,7.4360958"
Capitol Restaurant & Bar,"Rathausgasse 61, Bern, 3011",0.153536527,9.8,6,8,7,7,"https://www.google.com/maps?q=46.9483726,7.448942"
Famii Ramen,"Zieglerstrasse 30, Bern, 3007",1.376329537,8.6,5,8,6,7,"https://www.google.com/maps?q=46.9448852,7.4295033"
YIKOU Sushi tea,"Finstergasschen None, Bern, 3011",0.174923878,9.8,6,8,8,6,"https://www.google.com/maps?q=46.9475656,7.4492084"
Burrito Bandito,"Munstergasse 60, Bern, 3011",0.168248636,9.8,6,6,7,7,"https://www.google.com/maps?q=46.9475247,7.4490982"
Mondo,"Langgassstrasse None, Bern, 3012",1.376012746,8.6,6,7,7,7,"https://www.google.com/maps?q=46.9541325,7.4312989"
Mahataja,"Aarbergergasse None, Bern, 3011",0.448424255,9.6,4,6,7,8,"https://www.google.com/maps?q=46.9498673,7.4417788"
Gastwerk,"Viktoriastrasse 70, Bern, 3013",0.827938762,9.2,4,8,7,7,"https://www.google.com/maps?q=46.9546759,7.4518209"
Le Bistro,"Brunnen None, Bern, 3027",5.481399999,4.5,7,6,7,6,"https://www.google.com/maps?q=46.9452788,7.3751108"
Siesta alla Finestra,"Schlossstrasse None, Bern, 3008",2.74001496,7.3,5,7,6,6,"https://www.google.com/maps?q=46.9442216,7.4114353"
Dimelo Cantando,"Konizstrasse 71, Bern, 3008",2.267906212,7.7,4,7,7,8,"https://www.google.com/maps?q=46.9410209,7.4190093"
Contra Corrente,"Ostermundigenstrasse None, Bern, 3006",1.989385912,8,4,7,7,6,"https://www.google.com/maps?q=46.9537579,7.4717432"
Mikuri,"Brunnenstrasse None, Bern, 3018",4.481823612,5.5,6,6,8,7,"https://www.google.com/maps?q=46.9423864,7.3887057"
Moccaflor,"Brunnenstrasse None, Bern, 3018",4.365830532,5.6,6,7,6,6,"https://www.google.com/maps?q=46.9421237,7.3903015"
Mobilcity,"Wolflistrasse None, Bern, 3006",2.924037756,7.1,4,8,7,6,"https://www.google.com/maps?q=46.9659634,7.4750606"
Tong Fong,"Brunngasse 9, Bern, 3011",0.251632906,9.7,4,7,6,7,"https://www.google.com/maps?q=46.9488352,7.4500721"
Maruzzella,"Bruckenstrasse 12, Bern, 3005",0.407400234,9.6,5,7,7,7,"https://www.google.com/maps?q=46.9450186,7.4438883"
La Vie,"Weyermannsstrasse 1, Bern, 3008",2.245629452,7.8,6,6,8,6,"https://www.google.com/maps?q=46.9497795,7.4176168"
